公司名称,工商名称,公司网址,成立时间,地点,运营状态,行业,子行业,融资时间,轮次,融资金额,投资方,融资总额,估值,团队,公司简介,详细地址,公开电话,公开邮箱,笔记
爱观视觉,上海爱观视觉科技有限公司,http://ilooktech.com/,2016-07,上海-黄浦区,运营中,硬件,芯片半导体,-,-,-,-,-,-,张晓林:创始人,爱观视觉是一家仿生视觉系统控制及双目视觉技术研发商，专注于机器人仿生视觉系统研究和传感网的研究，覆盖机器视觉、图像处理、传感网、物联网标准制定、组网通信、信号处理、嵌入式软件、芯片设计、MEMS传感器设计制作、专业封装、综合系统集成等。,上海长宁区安化路492号E座301,021-5271-0552,aiguan@ilooktech.com,-
AICVS无人店科技,北京无人店科技有限公司,,2017-04,北京-海淀区,运营中,企业服务,行业信息化及解决方案,-,-,-,-,-,-,丁超:CEO,AICVS无人店科技是一家智能零售方案提供商，专注于为用户提供基于人工智能和计算机视觉技术的无人便利店、无人货架、零售场景检测分析等软硬件配套方案，可应用于安防、交通、工业、汽车、零售等行业。,中国北京市海淀区100080东升大厦4层优沃孵化器,,,-
问众智能,问众智能信息科技（北京）有限公司,,2017-04,北京-海淀区,运营中,汽车交通,其他汽车服务,-,-,-,-,-,-,李志飞:总经理,问众智能是一家车载人工智能技术研发及应用商，旗下新款产品是问问魔镜Ticmirror，除了防爆裂镜片、V0级抗阻燃塑胶等安全硬件设计元素。这款智能后视镜还具备出门问问的AI语音解决方案，驾驶员可以直接通过语音交互下达指令，解放双手、优化驾驶体验。,北京市海淀区上庄镇上庄路115号院一层522号,,,-
硅基智能,南京硅基智能科技有限公司,http://www.guiji.ai/,2017-08,江苏-南京,运营中,硬件,机器人,2018-07-08,A+轮,数千万人民币,红杉资本中国,1.6亿,未透露,司马华鹏:CEO,"硅基智能（简称“硅基智能”）成立于2017年8月8日， 是一家专注于智能语音和机器视觉等交互技术的深度研发和商业场景应用推广的高科技公司。 专注的研发积淀保证了在机器人和交互技术的专业领域的成熟度，功能上也实现了全面覆盖。 
在主攻技术发展的同时，完成了具体场景的深耕细作，成立四家全资子公司，分别在AI机器人服务、金融服务、儿童教育、呼叫中心进行落实，完成四大产业支柱布局。其中，硅信智能负责AI电话机器人的全国布局应用，硅梦智能负责儿童机器人教育服务，上海国疆智慧负责AI金融服务，安徽国疆负责新型呼叫中心搭建。",南京市雨花台区软件大道66-1华通科技园3、6楼,132-7081-8223,guijixs@guiji.com,-
,,,,,,,,2018-06-15,A轮,数千万人民币,"奇虎360,澎湃资本",,,,,,,,
,,,,,,,,2018-05-18,战略投资,数千万人民币,招银国际,,,,,,,,
,,,,,,,,2017-12-10,Pre-A轮,5000万人民币,"奇虎360,澎湃资本",,,,,,,,
,,,,,,,,2017-10-20,天使轮,2000万人民币,"好望角投资,和君资本",,,,,,,,
鸟瞰智能,杭州鸟瞰智能科技股份有限公司,http://www.birddodo.com/,2009-07,浙江-杭州,运营中,硬件,机器人,2016-12-12,A轮,数千万人民币,"华欧创投基金,浙大创投",8000万,未透露,夏戴花:联合创始人,鸟瞰智能是一家商业场景对话机器人研发商，定位于城市消费个性化推送的ROI移动营销DSP平台，依托每日超10亿流量，日覆盖超5亿独立用户，以280个行为标签分析锁定目标用户，专注于为移动互联网、城市消费、金融、手游等行业提供移动营销个性化推送服务及整体解决方案。,杭州市文一西路998号海创园1号楼1306B,0571-8707-2650,service@birdpush.com,-
,,,,,,,,2016-08-26,新三板,2000万人民币,-,,,,,,,,
,,,,,,,,2015-11-27,Pre-A轮,数千万人民币,南翔创投,,,,,,,,
,,,,,,,,2010-03-23,天使轮,未透露人民币,田溯宁,,,,,,,,
八宝智能,深圳阿米酷酷科技有限公司,,2015-04,广东-深圳,运营中,硬件,机器人,-,-,-,-,-,-,许少煌:创始人兼CEO,八宝智能是一个聊天机器人服务提供商，为企业提供应用场景Chatbot服务，以集合高效为服务特点，形成以结果为导向的7*24模式服务，致力于研发人工智能Chatbot来协助甚至替代服务岗位。,深圳市龙岗区坂田街道梅坂大道雅南路星河领创天下1楼EF区,158-1469-1081,2881248982@qq.com,-
达峰智能,福建达峰智能科技股份有限公司,http://www.dafengtech.com,2009-02,福建-泉州,运营中,硬件,智能家居,2016-12-16,新三板,未透露人民币,-,-,未透露,杜晓峰:总经理,达峰智能是一家智能化和工业机器人服务商，主营业务包括公安平安城市系统、智能交通、科技法庭、智能楼宇、政府及企业信息化系统等。,泉州市丰泽区北清路516号佳宝大厦6楼,0595-2275-5588,DF@dafengtech.com,-
远荣智能,深圳远荣智能制造股份有限公司,http://www.yr-robot.com,2006-12,广东-深圳,运营中,硬件,机器人,2016-08-11,新三板,未透露人民币,-,-,未透露,黄海荣:黄海荣,远荣自动是一家智能机器人系统研发商，致力于智能机器人的研发与制造，主要应用于表面涂装、抛光及打磨等技术领域。产品有ABB机器人及涂装线两种，其中ABB机器人应用于物料搬运、包装及喷漆等应用领域。,深圳市宝安区松岗街道潭头第二工业城27栋,0755-2746-3800,xsrcw@xsrjt.com ,-
七奇智能,南京七奇智能科技有限公司,,2017-12,江苏-南京,运营中,硬件,机器人,-,-,-,-,-,-,袁志坚:CEO,七奇智能是一家服务型影像虚拟人研发商。致力于为各行各业提供服务型“影像虚拟人”软硬件产品，这种虚拟人产品的特点是无需实体机器人复杂的机械结构，而是通过投影或大屏呈现3D立体形态，通过语音视觉进行自然交互，实现商务迎宾、引流和导购等,南京市栖霞区迈皋桥创业园科技研发基地寅春路18号-M1755,,,-
冲浪科技SurfingTech,北京冲浪科技有限公司,http://www.surfing.ai,2017-05,北京-海淀区,运营中,企业服务,行业信息化及解决方案,2018-08-30,天使轮,数百万美元,Ventech China银泰资本,3900万,未透露,"Edison Ho:创始人&CEO,唐绍鹏 博士:联合创始人&图像专家,程兰颖 博士:联合创始人&语音专家,Andreas Geiger教授:首席科学家,Emily Zhang:联合创始人&市场总监","北京冲浪科技有限公司成立于2017年初，由欧洲知名VC投资，作为人工智能数据方案提供商，冲浪科技更懂技术和算法。冲浪科技创始团队均来自国内外知名人工智能公司，包括Microsoft, Intel, Nuance, Nokia, NEC, Sougou等。冲浪科技开放并提供高质量的人工智能训练数据集，目前主要集中在自动驾驶汽车、人脸识别、语音识别领。在首席科学家Andreas Geiger教授的带领下，冲浪科技为客户提供完整的无人车数据解决方案。包括多传感器定标、3D和2D数据采集、可视化和标注。所有3D和2D数据都由冲浪科技自主研发的3D点云标注平台进行标注。冲浪科技不仅擅长在技术框架下设计、开发训练数据集，更乐意分享这些数据集。冲浪科技乐意将自有的每一个数据集陆续免费开放给学术界。","Floor 2, No.35, Zhongguancun Inno Way, Haidian West Street, Haidian district, Be",010-8646-4772,contact@surfingtech.cn,-
,,,,,,,,2017-07-09,种子轮,数百万美元,-,,,,,,,,
Instana,,https://www.instana.com/,2015-04,北美洲-美国,运营中,硬件,机器人,2018-09-28,C轮,3000万美元,"Accel Partners,Meritech Capital Partners",3.64亿,未透露,,Instana是一家企业级微服务监控初创公司，用户安装了Instana服务之后，就可以检测、并映射构成企业应用程序的所有不同组件，然后实时反馈他们之间的交互和依赖关系，然后利用收集到的信息自动检测异常。不仅如此，该公司还推出了人工智能机器人、虚拟助手Stan，通过持续学习用户应用环境，预判问题，并提供建议。据悉，该公司在短短十个月时间里就获得了全球100家企业客户，包括奥迪、DriveNow、Mobitech等。,,,,-
,,,,,,,,2017-12-15,B轮,2000万美元,"Accel Partners,Target Partners",,,,,,,,
,,,,,,,,2016-06-07,A轮,600万美元,Target Partners,,,,,,,,
Prognos,,http://www.prognos.ai/,2010-01,北美洲-美国,运营中,医疗健康,医疗信息化,2017-12-18,C轮,2050万美元,-,1.33亿,6.6625亿元,,Prognos是一家人工智能医疗服务提供商，致力于通过分析大力健康记录和诊断结果，为人们预测疾病，并根据患者的临床特征确定最佳的治疗方案。,,,,-
昌恩智能,深圳昌恩智能股份有限公司,http://www.szce.com,1998-05,广东-深圳,运营中,企业服务,行业信息化及解决方案,2016-05-20,新三板,未透露人民币,-,-,未透露,刘恩元:董事长,"昌恩智能是一家经国家工信部、广东省公安厅、广东省住建厅批准认证的在建设“智慧城市”背景下为客户提供智能化整体解决方案的综合性企业。致力于以建筑智能化、智能交通为主营业务。业务涉及政府部门、企事业单位、社区等,涵盖金融机构、教育、医疗、公安边防、文博系统、旅游景点、小区酒店等领域。",深圳市盐田区海山街道沙头角深盐路南保发大厦第五层H1,0755-8393-2176, www.changen@szce.com,-
软晶科技,深圳市软晶科技有限公司,http://www.rjone.com/,2010-08,广东-深圳,运营中,企业服务,黑科技及前沿技术,2017-05-29,A轮,未透露人民币,纽信创投,-,未透露,杨川:执行董事,软晶科技是一家机器人视觉核心算法与部件方案提供公司，主营业务是人工智能（AI）核心算法软硬件及整体方案应用，目前已成功应用在智能扫地机、服务机器人等领域，落地的产品有紫光小优、小白爱家、松下等。,广东省深圳南山区科技园科发路8号金融基地一栋7D,0755-8696-2301,rjone@rjone.com,-
安威士,上海安威士科技股份有限公司,http://www.anviz.com,2007-11,上海-闵行区,运营中,硬件,消费电子,2013-11-13,新三板,未透露人民币,-,-,未透露,仇成林:总经理,安威士是一家智能安防行业中多生物识别技术的电子产品供应商。公司主要从事生物识别技术相关产品及视频监控产品的研发与生产，也是集核心技术研发、专业生产制造及营销为一体的综合型企业。,上海市闵行区金都路4289号6201室,021-5483-3433,info.asiaanviz.com,-
青岛海之晨,青岛海之晨工业装备有限公司,http://www.qdgyzb.com/,2011-12,山东-青岛,运营中,硬件,机器人,-,-,-,-,-,-,陈栋:CEO兼总经理,海之晨工业装备是一家工业机器人及机器视觉产品研发商，通过机器视觉处理软件，解析物体的三维信息，并利用此数字三维信息做出测量、判断和引导，提高工业机器人的使用柔性，扩大机器人的使用场合，降低人工作业的强度和人次。,青岛市黄岛保税港区北京路37号,0532-8519-1383,1105780299@qq.com,-
中源智人,中源智人科技（深圳）股份有限公司,http://www.3t-cn.com,2003-03,广东-深圳,运营中,工具软件,实用生活服务,2015-12-07,新三板,未透露人民币,-,-,未透露,黄道权:总经理,中源智人是一家智能图像检测系统和智能图像机器人研发商，目前主营业务为智能手机显示屏检测和装配服务，新拓展业务为行业智能图像检测系统和智能图像装配机器人的研发于制造。,深圳市宝安区沙井街道壆岗路泰丰工业区（恒强工业园）C栋,0755-2756-8700,tjuan@3t-cn.com,-
利泽智能,北京利泽菲尔文化科技有限公司,,2017-08,北京-海淀区,运营中,企业服务,行业信息化及解决方案,2018-01-03,种子轮,200万人民币,-,200万,1000万元,韩杰:创始人,利泽菲尔是一家智能图像深度信息挖掘服务平台，专注于解决智能安防监控、目标检测、人脸识别等终端分析能力有限的问题，采用分布式视频计算方法，并提供一系列算法积木式模块的方式，帮助企业针对于特定应用实现快速的产品迭代与升级。,北京市海淀区中关村大街18号8层04-1124,,,-
AImotive,,https://aimotive.com/,2015-01,欧洲-俄罗斯,运营中,汽车交通,其他汽车服务,2018-01-05,C轮,3800万美元,-,2.47亿,12.35亿元,,AImotive是一家无人驾驶汽车人工智能技术开发商，拥有人工智能、计算机视觉和导航技术的实践经验，为嵌入式平台和GPU提供优化的解决方案。独立自主开发的功能有车道识别、移动物体识别和物体分类等。,,,,-
奥迪安,广东奥迪安监控技术股份有限公司,http://www.gdada.cn,2003-04,广东-广州,运营中,企业服务,其他企业服务,2016-11-25,新三板,未透露人民币,-,-,未透露,黄文森:总经理,"奥迪安是一家智能安防系统集成服务商,业务涵盖计算机系统、弱电智能化系统、智能安防系统、智能交通系统的建设及集成服务,提供从产品研发、工程咨询、系统设计、工程建设到系统运维保障的完善服务及整体解决方案。",广州市萝岗区广州开发区科学城起云路6号自编一栋四层404-406、408-415房,020-8768-1330,gdada@anjubao.net,-
Voyage,,http://voyage.auto/,2017-02,北美洲-美国,运营中,汽车交通,交通出行,2018-01-11,A轮,2000万美元,-,1.3亿,未透露,,Voyage是一家自动驾驶汽车出行服务公司，致力于改装目前已大规模量产的车型来创建一个自动驾驶出租车队，为人们提供出行服务，而非自主研发和销售自动驾驶汽车，已经拿到了部署自动驾驶车队的许可证。,,,,-
,,,,,,,,2017-04-07,种子轮,未透露人民币,"Khosla Ventures,Initialized Capital,CRV",,,,,,,,
朗驰欣创,深圳市朗驰欣创科技股份有限公司,http://www.launchdigital.net,2005-06,广东-深圳,运营中,硬件,机器人,2016-08-10,新三板,未透露人民币,-,-,未透露,彭志远:董事长,朗驰欣创是一家智能巡检机器人研发商，专注于从事特种行业智能巡检机器人的研发与设计，旗下主要产品包括电力巡检机器人、隧道智能巡检机器人、核应急处置机器人等，此外，还提供红外热成像检测产品以及智能视频分析产品等智能红外设备产品。,深圳市南山区北环路第五工业区风云科技大厦301之一,400-881-5808  ,marketing@launchdigital.net,-
ICONTEK艾肯特,深圳市艾肯特科技有限公司,http://www.icontek.com/,2015-06,广东-广州,运营中,企业服务,其他企业服务,2016-06-12,Pre-A轮,300万美元,-,1950万,9750万元,余自立:创始人,ICONTEK艾肯特是一家自然语言处理引擎开发商，专注于研发基于NI算法的NLP（自然语言处理）算法引擎，NI-NLP引擎支持所有语言以及任意混合的多语言，可以开发出智能客服、语音搜索、语音导航、呼叫中心以及语音支付等应用。,深圳市南山区南山街道前海路369号诺德假日花园8栋B1806,136-3165-1989,13798510268@139.com,-
罗伯特,安徽罗伯特科技股份有限公司,,2011-03,安徽-芜湖,运营中,企业服务,其他企业服务,2015-03-31,新三板,未透露人民币,-,-,未透露,张坚:总经理,"罗伯特是一家智能电网领域综合技术解决方案和产品生产商，公司一直致力于发展世界领先的智能电网领域安全可靠的技术和产品,是智能电网领域综合技术解决方案和产品的提供者。公司产品类型包括与智能电网配套的成套开关设备、核心元器件、光纤在线监测类产品、智能系统集成类产品等,以及基于新能源技术的大容量储能设备的能源解决方案,支持能源微网实现传统电网与风光新能源发电的一体化并离智能接入管理。",芜湖市高新技术产业开发区漳河路17号（罗伯特大厦）, 0553-293-8710 ,anna.wen@rbtek.cn,-
松灵机器人,松灵机器人（东莞）有限公司,http://www.agilex.ai/,2017-06,广东-东莞,运营中,硬件,机器人,2016-08-04,天使轮,数百万人民币,"联想之星,XBOTPARK基金",300万,1500万元,魏基栋:董事长,松灵机器人是一家载重移动机器人研发和生产商，产品系列包括：机器人停车(Parknel系列)、物流搬运、定制设计。通过持续的创新，设计领先的载重移动机器人产品，深耕技术细节的优化，致力于为行业需求用户提供性能最强、体验最佳的移动机器人产品和解决方案。,东莞市松山湖国际机器人研究院17栋,0769-2289-2150,marketing@agilex.ai,-
黑石机器人,杭州黑石机器人有限公司,http://www.bsrobots.com,2013-09,浙江-杭州,运营中,本地生活,美食餐饮,-,-,-,-,-,-,翟永辉:创始人,黑石机器人是一家机器人奶茶店运营商，采用智能深度学习、语音交互、3D打印、情感交流以及AI技术，视觉识别用户的身份、行为，获取其购物历史、习惯，为用户提供产品推荐、帮助、指引、指路等社交服务，同时制作果汁、奶盖、雪乐等6种系列奶茶。,浙江省杭州市余杭区良渚街道七贤桥村7幢1楼南侧102室,,,-
环球农宝,北京环球农宝智能科技有限公司,http://www.holyjoy.cn,2017-10,北京-怀柔区,运营中,企业服务,其他企业服务,-,-,-,-,-,-,段晓琳:CEO,       环球农宝专注于人工智能机器视觉，致力于将人工智能技术用于工业机器人及自动化，是一家具备机器人视觉、深度学习以及软硬件一体化研发能力的高科技公司。,北京市怀柔区雁栖经济开发区乐园大街17号2层,010-8639-3193,mi@holyjoy.cn,-
飞碟智控,上海岂控信息科技有限公司,http://www.ufosmart.com,2015-07,上海-浦东新区,运营中,企业服务,其他企业服务,-,-,-,-,-,-,林渠策:总经理,飞碟智控是一家智能家居解决方案提供商，旗下产品包括环境探测器、智能电子锁、触摸开关等。全宅利用智能语音交互技术，具有灯光控制、室温调节、远程空调等家电管理功能。,中国（上海）自由贸易试验区祖冲之路2305号B幢1207室（房产登记证为11层）,021-5604-3956,alvis@ufosmart.com,-
巴巴腾智能儿童机器人,深圳市鑫益嘉科技股份有限公司,http://www.agpc.cn,2005-05,广东-深圳,运营中,硬件,机器人,-,-,-,-,-,-,余晓梅:创始人,鑫益嘉是一家儿童智能机器人研发商，公司致力于互联网+产品、智能机器人、智能穿戴和智能教育领域的创新与研发。结合前沿的互联网+概念、云服务技术及十多年软硬件开发实力，为用户呈现智能服务生活的极致体验，真正意义上实现了让技术回归服务于人的本质。旗下拥有陪护机器人、娱乐机器人、早教机器人及AR教育机器人等产品。,深圳市宝安区福永街道福园二路光阳电机工业园3#厂房,0755-2756-8073,2881118200@qq.com,-
中一科技,南京中一物联科技有限公司,http://www.zywulian.com/#app,2017-02,江苏-南京,运营中,企业服务,行业信息化及解决方案,-,-,-,-,-,-,瞿靓:总经理,中一科技是一家专注于智慧家居和智慧社区解决方案及智慧社区生态建设的创新型公司，公司通过语音交互、人工智能等先进科技，致力改善人居环境及品质，让生活更智慧更美好。,南京市江宁开发区将军大道20号翠屏国际广场9幢411室,025-5881-5338 ,,-
部族欧巴,广州市部族科技有限公司,http://www.myoba.net,2015-03,广东-广州,运营中,硬件,车载及出行,-,-,-,-,-,-,吴万成:执行董事兼总经理,部族欧巴是一家车载智能出行机器人研发商，专注于从事场景智能机器人的研发与设计，旗下产品“欧巴机器人”具有公交出行服务、多媒体交互、智能推广等功能。同时还提供站点周边信息查询、巴士查询等。,广州市天河区天河北路233号6303、6304、6305房自编10号,138-2640-4626,,-
AICHAIN,,http://www.aichainnews.com/,2017-06,香港-中西区,运营中,企业服务,数据服务,2018-01-25,战略投资,未透露人民币,维京资本,-,未透露,段凯:创始人,AICHAIN是一家区块链服务公司，基于AICHAIN打造开放包容的区块链生态，最终，帮助人工智能企业建立AI模型并寻找优质数据，同时为数据提供方带来经济效益。首创了AI学习机器人联盟，能够有效的降低AI学习的边际成本。AICHAIN主张打造平民化、自适应、可持续的AI数据池和应用。,,,,-
南京地平线机器人,南京地平线机器人技术有限公司,http://www.hobot.cc,2016-07,江苏-南京,运营中,硬件,智能家居,-,-,-,-,-,-,余凯:创始人,南京地平线机器人致力于人工智能领域的创新。公司在北京、南京、深圳设有研发中心和商务运营团队，具有软件和硬件兼备的研发和产品能力。Horizon Robotics 要做的产品，是基于人工智能算法的芯片、系统和软硬件平台，让世界上所有的设备（例如家居、汽车、玩具和服务机器人），具有从感知、交互、理解到决策的智能。,南京经济技术开发区兴智路兴智科技园A栋20层,025-6965-3700,,-
Doxel,,http://www.doxel.ai/,2017-03,北美洲-美国,运营中,硬件,机器人,2018-01-26,种子轮,450万美元,Andreessen Horowitz(简称A16Z),2925万,1.4625亿元,,Doxel是美国一家建筑机器人研发商，旗下机器人通过内置激光雷达传感器，使其可以每天扫描施工现场，在监控施工进展情况的同时还检查可能会出现的质量问题，从而确保施工团队能够按进度完成施工任务。,,,,-
韦尔德斯凯勒,宁波韦尔德斯凯勒智能科技有限公司,http://www.wildsc.com.cn/,2012-10,浙江-杭州,运营中,硬件,机器人,2018-01-28,A轮,未透露人民币,荷塘创投（启迪创投）,4000万,未透露,贾庆伟:董事长兼任CTO,韦尔德斯凯勒是一家智能机器人研发商。主要从事高性能控制器、智能机器人、机器人中控中心、巨型无人化工厂的研发、 生产、推广及产业化工作。,奉化市经济开发区尚桥科技工业园,0574-8868-5005,customerservice@wildsc.com.cn,-
,,,,,,,,2016-04-28,天使轮,4000万人民币,-,,,,,,,,
拉队科技,拉队科技（深圳）有限公司,http://www.ailadui.com/,2014-04,广东-深圳,运营中,硬件,机器人,-,-,-,-,-,-,钱义梁:CEO,拉队科技致力于人工智能领域，专注于AI/MI（人工智能／机器学习）的核心-深度学习算法。团队的核心汇集业内专业人士，致力于打造专业服务平台。,深圳市南山区西丽街道高新北六道绿创云谷大厦205室,0755-2641-4178,1020303@jfk.com,-
天麒科技,成都天麒科技有限公司,http://www.skylinuav.com,2013-08,四川-成都,运营中,硬件,飞行器,-,-,-,-,-,-,杨凌:董事长兼CEO,天麒科技是一家新型无人机及相关智能硬件产品研发商，公司是一家以人工智能为核心，提供智能一体化农业服务的科技创新型企业，致力于空中无人机器人的研发和制造，对于无人机在农林牧业等应用有深入的探索，已取得业内瞩目的成果和产品。同时天麒科技致力于实现“让天下无农”的科技信仰，借助新型人工智能科技（目前为植保无人机）， 引爆农耕思维，引燃农创激情，引发农业新风尚，引领农村新生活， 逐步打造全自动化、信息化、智能化的全新智能云农业生态链，让天下无农，人人共享健康美食，更慧创新生活的美好蓝图。,中国（四川）自由贸易试验区成都高新区天府大道中段666号1栋35层3507号,028-8558-9377,liam@skylinuav.com,-
诠视科技,上海诠视传感技术有限公司,,2017-08,上海-黄浦区,运营中,企业服务,行业信息化及解决方案,2018-01-30,天使轮,未透露人民币,"中科创星,智芯原动",-,未透露,QIONG LIN:CEO,诠视科技是一家高速VSLAM解决方案提供商，公司主要从事计算视觉技术研发，专注于为VR/AR头盔及机器人提供高速VSLAM解决方案，包括软件、硬件及嵌入式系统实施。还发布了业界适用于移动端的嵌入式VSLAM模组-eXLAM。,中国（上海）自由贸易试验区德堡路38号2幢1层112-33室,,,-
云智硬件,广东云智硬件有限公司,,2016-07,广东-广州,运营中,硬件,机器人,-,-,-,-,-,-,魏伟:创始人,云智硬件是一家以人工智能、物联网为核心，深度结合云支付消费返还金融体系，打造集互联网+软件+设备+媒体域一体的创新型智能硬件研发平台。,广州市天河区广州大道中988号2006、2007、2008房,400-091-0988,,-
优尔博特,北京优尔博特创新科技有限公司,,2016-01,北京-海淀区,运营中,硬件,机器人,-,-,-,-,-,-,柴雪松:董事长兼总经理,优尔博特是一家机器人研发生产商，公司致力于新型机器人以及水下无人机的研发生产，于2012年至2015年完成了项目的技术准备及科研攻关，并在苏州建立研发基地，在浙江建立了生产实验基地，2016年建立北京公司总部，从产品研发阶段进入产品定型阶段。隶属于北京优尔博特创新科技有限公司,北京市海淀区万寿路街道复兴路61号29号楼一层106室,010-6821-7662,zhu@uboter.com,-
Nuro,,https://nuro.ai/,2016-06,北美洲-美国,运营中,汽车交通,其他汽车服务,2018-01-30,A轮,9200万美元,"真格基金,高榕资本,Greylock Partners,丁磊",5.98亿,29.9亿元,,Nuro.ai是一家自动驾驶技术研发商，公司的主要业务范围还包括机器人技术和人工智能技术的研发，在开发无人驾驶汽车及其零配件产品的同时，还会开发一系列的人工智能产品。,,,,-
Robobloq,深圳市魔块智能有限公司,http://www.robobloq.com,2017-05,广东-深圳,运营中,教育,教育信息化,2018-12-11,Pre-A轮,1000万人民币,梅花创投,1000万,5000万元,王斌:CEO,Robobloq魔块智能是一家从事人工智能研究和STEM教育产品研发，生产和销售的高科技机器人企业，致力于为世界各地STEM教育机构和从业者提供从教学教具，教学内容，比赛，国际交流在内的端到端教育方案。旗下有’’魔洛克’’，’’Qmind’’等多个品牌和产品系列。,广东省深圳市南山区桃源街道集悦城A区17栋202,0755-2692-6929 ,hello@robobloq.com,-
蓝芯科技,杭州蓝芯科技有限公司,http://www.robvision.cn/,2016-06,浙江-杭州,运营中,硬件,消费电子,2018-07-12,Pre-A轮,未透露人民币,泰恒投资,-,未透露,高勇:CEO,蓝芯科技主要研发移动平台感知和控制系统，及相关核心技术。提供移动平台感知和控制系统的软、硬件产品，及整体解决方案。让移动平台提供商，能基于我们的系统做出更加智能、功能更强大的产品。,杭州市余杭区文一西路1818-2号中国人工智能小镇7-902,0571-8869-0935,lanxin@robvision.cn,-
,,,,,,,,2018-05-10,天使轮,未透露人民币,丰厚资本,,,,,,,,
哈工科教,北京哈工科教机器人科技有限公司,http://www.hterobot.com,2016-04,北京-丰台区,运营中,教育,教辅设备,-,-,-,-,-,-,雷深皓:创始人,哈工科教专注于先进AI技术的教育化产品化整合，将国内外先进的AI技术服务于中国的AI教育。公司目前的主要产品是围绕自主开发的机器人教学资源平台和相关软硬件产品，整合各类高阶智能硬件，针对性的开发了机器人技术案例、物联网智能场景等全方位时间体系，满足了各个学龄段针对人工智能教育的教与学的实际需求。,北京市丰台区方庄南路2号14层1单元1612,010-8758-7203,,-
恩茁科技,东莞恩茁智能科技有限公司,http://www.agriaip.com,2016-10,广东-东莞,运营中,硬件,其他硬件服务,2015-08-04,种子轮,数百万人民币,XBOTPARK基金,300万,1500万元,钟昆恒:董事长,恩茁科技是一家农林业自动化设备研发生产商，致力于发展农业自动化、农业智能化、农业精准化三大方面，现有一款适用于蔬菜、花卉、苗木且具备自动灌装、热封、切断等多功能为一体的AGI纸钵机（又名轻基质育苗容器灌装机）系列成熟产品，以及组培灌装机GZJ系列产品。公司将坚持与行业携手跨学科长期的深度合作，继续开发植物培育及种植养护过程中所需的配套的自动化设备及相关技术产品。,东莞松山湖高新技术产业开发区新竹路4号新竹苑17幢1单元5楼B区503室,0769-2289-3997,company@agriaip.com,-
行车宝,南京行车宝智能科技有限公司,http://www.carseeing.com/,2015-04,江苏-南京,运营中,汽车交通,汽车综合服务,2018-02-08,天使轮,未透露人民币,苏州清研资本,-,未透露,刘舟:董事长,行车宝是一家ADAS功能研发商，致力于通过人工智能、模式识别以及计算机视觉等高科技手段来全方位保障驾驶员在驾驶过程中的行车安全。公司已开发出司机驾驶状态监测、前车防撞预警等核心功能，是拥有自主知识产权的ADAS相关功能的研发企业。,南京经济技术开发区兴智路兴智科技园C栋0804室,134-2631-1156,hr@carseeing.com,-
思普瑞云,思普瑞云科技有限公司,http://www.sprann.com,2017-04,广东-深圳,运营中,企业服务,行业信息化及解决方案,-,-,-,-,-,-,"秦文晋:董事长兼CEO,秦文晋:",思普瑞云是一家智能工厂整体解决方案提供商，通过整合美国领先的先进信息技术和符合中国制造业实际需求的灵活解决方案，帮助客户打造智能制造的生产工厂，为中国制造业的转型升级提供强有力的工具支持和价值方案，涵盖以下产品和服务：注塑MES系统、电子装配MES系统、离散制造MES系统、自动排程APS系统、拉动式生产系统PPS系统、敏捷供应链系统VDS系统、智能仓储系统WMS系统，企业的ERP系统升级SAP（A1和B1）的方案集成和实施以及智能货架、自动装配线和多种自动化设备。,深圳市龙华区龙华街道清祥路1号宝能科技园6栋B座13楼G 查看地址,0755-2650-1058,sales@sprann.com,-
Gyrfalcon Technology,,,2017-01,北美洲-美国,运营中,硬件,芯片半导体,2018-02-09,A+轮,未透露人民币,-,-,未透露,,Gyrfalcon Technology是一家美国AI芯片研发商，自主研发了“光矛处理器Lightspeeur2801S”，适用于CNN、RNN等常见深度神经网络的模型训练及推理，产品主要包括单芯片、计算棒、板卡等多种形态，广泛应用于移动边缘计算、智能监控、智能玩具、智能家居等领域。,,,,-
,,,,,,,,2017-11-24,A轮,未透露人民币,一村资本,,,,,,,,
为诺机器人,桐城市为诺机器人技术有限公司,http://www.winner-rbt.com/,2015-10,安徽-合肥,运营中,硬件,机器人,2018-02-09,A轮,未透露人民币,"集素资本,红珊瑚资产",-,未透露,程教文:CEO兼总经理,为诺机器人是一家提供智慧机器人和无人机整套解决方案及专业技术服务的公司，设有杭州为诺智能科技有限公司（旗下全资子公司），在安徽桐城设有生产基地、浙江杭州设有研发中心。杭州为诺智能科技有限公司为杭州市机器人协会成员单位。,安徽省桐城市开发区东环路,0571-8720-5280,,-
,,,,,,,,2016-01-03,Pre-A轮,未透露人民币,集素资本,,,,,,,,
异韬资产,上海异韬资产管理有限公司,http://www.yitaomoney.com,2016-02,上海-闵行区,运营中,金融,理财,-,-,-,-,-,-,罗晖:创始人,异韬资产是一家人工智能机器交易的新型阳光私募投资管理机构，RC智能云平台为基于人工智能和大数据分析技术，根据历史数据和实时数据，实时分析大盘和所有个股的涨跌概率的云查询系统。,上海市陈行路2388号2号楼306室,021-6402-5332,luo.hui@yitaomoney.com,-
